Rank,Team,GP,W,D,L,GF,GA,GD,Pts
1,Manchester City,19,14,2,3,38,11,27,44
2,Liverpool,19,13,5,1,34,12,22,44
3,Tottenham,19,11,0,8,33,23,10,33
4,Manchester Utd,19,9,3,7,32,29,3,30
5,Chelsea,19,9,3,7,24,27,-3,30
6,Crystal Palace,19,9,2,8,32,30,2,29
7,Leicester City,19,7,4,8,27,28,-1,25
8,Arsenal,19,7,4,8,31,35,-4,25
9,Watford,19,6,5,8,26,31,-5,23
10,Wolverhampton,19,6,5,8,19,25,-6,23
11,West Ham Utd,19,6,3,10,20,28,-8,21
12,Everton,19,5,5,9,24,25,-1,20
13,Newcastle Utd,19,4,8,7,18,23,-5,20
14,Burnley,19,4,5,10,21,36,-15,17
15,Southampton,19,4,4,11,18,35,-17,16
16,Bournemouth,19,5,1,13,26,45,-19,16
17,Cardiff City,19,4,2,13,13,31,-18,14
18,Brighton,19,3,4,12,16,32,-16,13
19,Huddersfield,19,1,4,14,12,45,-33,7
20,Fulham,19,1,2,16,12,45,-33,5
